PM2.5,co2,no2,so2,o3
23,549,226,341,104
10,3192,259,68,133
16,4764,250,114,67
23,4372,8,227,84
31,3386,100,103,178
15,1057,218,389,99
19,371,151,171,25
44,3265,127,80,103
25,3779,229,261,179
6,6697,108,262,60
30,3214,13,107,20
25,3325,243,340,136
5,6090,183,75,38
48,6289,275,101,244
4,4667,138,323,194
21,2288,88,109,115
7,6030,145,131,195
38,3526,174,303,221
13,1010,250,354,21
28,2949,176,171,202
44,3997,5,79,27
16,3090,133,95,153
29,1303,210,62,140
27,2480,291,355,105
19,1714,46,319,73
19,3186,253,50,13
42,4498,180,76,58
31,1055,249,227,140
12,5601,81,257,129
31,1049,216,319,54
24,1992,247,177,28
13,2347,133,340,161
9,5411,258,179,34
12,1448,167,144,127
17,4160,6,71,84
9,2680,48,28,163
18,2736,246,58,95
10,1801,241,398,160
29,4745,98,239,190
26,6379,276,339,13
17,2239,285,223,142
36,2602,284,247,162
30,683,265,81,72
32,2035,245,40,248
42,5371,140,386,51
47,1106,12,77,98
13,506,147,234,125
36,3728,258,316,191
24,2438,173,57,177
36,2996,51,312,200
13,6292,149,187,242
39,1868,294,60,32
28,1099,286,256,57
12,4790,124,4,95
42,4762,37,228,150
45,2244,262,201,139
27,1194,187,195,34
26,6315,179,278,54
22,490,48,89,217
16,6571,189,44,192
39,928,59,293,246
34,445,204,289,236
9,5300,298,161,173
9,1736,193,152,194
17,6496,64,166,141
6,3920,256,311,124
40,895,9,158,248
48,3357,103,10,99
32,3474,9,214,96
20,3262,10,113,31
9,4987,24,137,203
20,1553,9,27,155
20,442,299,246,29
34,4186,250,104,182
16,3346,265,73,43
47,6642,182,236,150
21,4426,206,336,142
18,1250,111,372,188
31,6330,186,322,134
32,3461,290,347,169
48,6091,52,150,236
34,1130,154,45,210
4,4460,97,298,68
5,5511,192,359,143
7,5093,160,202,149
7,1343,180,100,236
19,2699,145,346,68
4,1500,164,41,92
38,5690,26,71,235
33,4716,207,241,97
3,720,245,124,29
39,4143,12,373,225
30,5799,230,35,65
24,3942,125,294,129
20,3387,195,231,221
29,5512,90,273,81
6,4588,60,179,169
12,3893,127,53,61
20,3924,206,359,89
48,3565,268,259,46
32,3673,72,321,36
8,6641,171,222,72
39,2170,216,87,32
22,3346,266,34,225
4,5695,208,187,97
22,2927,68,307,24
24,2543,56,136,194
17,6055,245,382,212
45,3186,104,191,35
40,5548,175,64,112
27,6817,55,299,133
30,480,64,327,192
14,2951,240,126,130
5,3758,210,313,40
8,6699,62,189,193
12,218,232,205,130
15,4124,283,74,70
23,6301,192,301,63
28,2901,169,145,115
45,2219,108,33,197
45,4115,101,261,245
27,5169,225,305,128
35,921,104,205,230
21,6617,288,131,210
38,4517,286,70,222
40,3747,106,292,240
38,1661,33,342,53
43,5878,167,229,188
13,1567,231,179,194
38,5719,109,312,199
12,6981,146,137,154
43,1177,49,201,27
46,6782,50,70,157
20,3317,125,272,127
6,326,87,13,115
3,268,299,279,214
18,700,77,240,246
3,6604,45,321,178
47,1584,266,95,147
20,5657,57,355,13
37,6007,40,66,186
23,796,114,171,175
8,3348,285,345,206
35,899,151,119,28
43,3694,280,397,94
31,1745,223,330,59
4,448,18,177,101
8,5054,66,55,67
4,5163,19,85,135
41,4290,74,306,147
13,2976,60,361,209
9,5424,50,293,148
8,3147,48,292,233
44,3555,192,59,234
37,1554,52,305,29
19,1033,285,360,154
4,4353,30,319,250
34,998,209,49,89
26,3669,220,112,45
11,270,190,139,192
48,5139,159,349,248
3,1843,178,114,90
38,2726,154,312,38
44,1544,296,396,176
30,5925,116,234,233
31,5472,200,80,70
21,3845,150,256,100
9,4068,43,228,195
25,857,57,259,184
40,2769,75,215,181
17,6777,180,373,89
26,1217,263,59,155
39,788,196,315,228
41,6793,213,326,212
37,6381,63,230,123
10,3339,40,368,80
43,4399,182,56,68
18,6955,236,233,181
32,4097,287,378,201
11,1112,26,59,42
43,5225,153,265,102
44,870,154,99,123
39,6550,205,361,238
17,4000,229,361,32
30,1923,97,359,194
27,2393,159,302,102
47,927,246,302,63
5,5450,250,385,208
23,4900,297,361,191
36,5021,268,196,56
45,5938,198,89,117
47,2250,222,95,153
13,2707,198,85,29
43,1303,87,361,187
18,3897,85,71,228
23,2345,244,51,149
22,6919,283,95,195
43,4366,102,73,122
13,2966,127,338,197
34,6126,220,192,159
19,4590,267,375,31
30,483,134,127,129
28,2663,258,198,181
27,5067,223,94,133
5,3800,177,5,103
22,5563,266,66,76
31,299,213,173,59
46,5067,234,268,235
12,6525,137,9,49
36,641,293,137,73
7,2411,223,39,150
14,1152,150,196,234
26,1915,153,235,68
36,5541,184,200,100
9,4499,258,113,220
24,3395,122,292,19
13,5513,116,136,138
43,2142,91,200,13
39,5311,198,389,213
38,4725,182,179,198
21,1701,189,218,159
22,3240,53,213,176
5,5519,203,134,246
38,1687,257,261,156
12,1916,142,48,224
23,3406,83,17,15
26,1851,185,170,43
34,1731,243,341,128
7,5584,78,275,60
9,1732,70,245,155
40,3781,219,69,115
36,2037,191,312,181
47,1094,63,364,204
9,6616,163,400,213
13,4148,177,194,117
27,2850,295,139,242
31,4390,66,79,232
47,4526,55,278,114
21,3840,97,71,160
20,6242,110,266,228
8,1760,80,348,127
32,5763,100,331,82
9,4023,299,155,215
19,4770,149,172,64
41,6839,218,105,239
13,4729,199,159,249
14,4613,84,368,171
29,5201,86,146,24
16,6181,154,53,34
40,457,175,364,73
42,6314,205,231,75
5,1293,15,83,177
10,4283,135,24,148
25,2409,78,169,88
5,4070,211,197,197
36,4482,138,273,245
5,4392,291,94,12
23,1050,101,198,73
37,3243,240,198,31
20,6474,207,153,138
18,2416,7,166,136
28,1409,107,157,32
25,1606,239,263,124
28,5916,277,346,115
8,5107,289,325,84
17,4213,289,130,23
24,477,124,339,177
7,4694,88,250,220
22,4333,134,370,145
6,5386,16,187,187
48,1904,168,38,229
36,5420,196,124,68
23,2084,135,334,155
35,2027,85,353,50
33,3432,241,383,136
28,5915,72,235,143
12,6253,9,288,106
21,2778,175,156,208
45,1096,195,210,122
38,4073,100,365,145
26,4086,294,64,146
22,4526,291,29,71
33,1568,209,8,144
11,4741,128,329,154
27,6495,118,218,67
7,1452,270,254,235
8,3819,24,24,185
45,3903,282,208,163
9,6402,85,326,50
8,5956,295,141,69
39,3956,8,274,160
4,6762,263,157,128
6,810,297,361,171
24,2046,288,391,192
26,1218,117,114,151
38,435,23,359,124
24,349,136,113,240
16,4729,277,173,40
9,3456,60,375,220
30,6476,54,14,167
8,3443,223,101,245
36,5803,284,30,226
6,2297,44,313,122
43,3737,61,367,207
9,779,297,169,186
14,2139,181,14,27
15,6371,141,59,161
16,6194,33,254,119
37,1399,294,396,195
25,365,48,112,74
25,5646,126,363,152
34,4285,159,221,99
32,4401,183,284,66
9,1094,81,371,242
17,5114,251,18,89
5,6829,100,218,174
19,2834,77,276,73
21,6067,90,143,92
28,2826,186,100,43
8,6073,20,290,203
28,6494,100,377,126
41,2656,277,208,139
13,6853,142,69,186
5,2751,7,57,140
14,4466,285,262,49
5,4372,215,151,144
47,5156,262,357,242
23,4119,21,334,249
29,1411,83,139,184
36,3843,6,341,201
34,2655,96,373,195
48,6952,117,20,26
32,940,215,174,197
24,2946,223,258,45
10,2539,286,383,181
24,3553,54,71,33
21,1221,35,32,179
13,4445,163,45,236
35,4758,52,28,92
33,2697,299,63,242
21,3624,229,298,138
42,445,273,49,167
37,2855,229,109,133
11,1168,154,14,21
28,6734,107,106,86
4,790,76,335,45
35,5921,61,135,32
19,506,117,307,222
24,2199,215,336,30
16,1207,148,12,221
4,6106,296,75,61
43,3671,68,300,204
25,2578,147,56,171
30,934,267,186,133
14,3843,21,148,83
18,6977,5,80,239
41,2321,103,74,46
17,6234,233,154,104
39,4714,29,387,86
39,2587,263,365,237
26,6673,35,372,103
36,818,202,9,190
33,6091,209,71,76
10,4904,263,100,89
41,6767,206,227,230
5,5335,236,196,155
34,3086,209,92,83
47,608,103,240,13
7,1890,113,324,138
41,4247,77,360,219
37,5618,31,211,118
18,5514,183,220,50
42,6069,242,18,239
25,2855,111,323,30
13,6564,180,392,158
37,1357,152,169,39
39,5001,226,279,144
8,5819,189,191,62
47,3229,35,291,194
44,279,143,216,64
3,4639,74,290,109
24,3078,259,228,213
11,2720,243,371,183
13,1343,145,12,53
41,4804,247,273,37
12,1927,299,64,176
22,4709,244,297,113
35,5063,201,65,141
19,4546,103,389,171
34,1885,64,82,157
24,2836,212,120,87
29,2729,172,367,52
31,5814,228,25,98
36,2010,281,222,116
31,4249,154,244,182
16,1527,105,395,32
38,5928,189,6,118
20,3348,130,168,93
28,6295,28,294,166
38,4053,29,178,94
9,6094,211,95,234
23,4512,239,307,86
11,4715,161,42,58
12,2960,263,232,137
41,1192,232,221,187
47,860,36,74,250
15,1196,255,13,132
41,5538,157,400,122
40,5993,232,250,123
10,6321,206,149,112
12,3040,203,152,119
24,665,53,265,200
35,3485,35,282,22
21,1990,166,1,150
34,914,224,320,214
40,1969,105,327,183
21,4086,89,72,28
43,2258,240,208,203
26,4195,298,366,151
5,3304,46,165,187
41,2361,130,273,177
19,1236,127,281,235
40,1759,247,307,184
21,4873,271,393,176
43,2272,46,238,67
33,3701,169,187,75
35,5428,207,86,123
14,2547,172,385,108
6,2893,47,350,75
12,5277,220,108,96
20,6126,245,348,35
27,6341,106,332,72
47,2651,63,331,163
19,3696,25,378,157
11,4672,166,111,159
11,1368,238,316,179
32,6143,299,183,11
34,3725,153,58,105
29,2757,176,148,40
24,441,94,52,66
30,4188,150,287,62
18,6039,96,116,61
10,4093,88,341,96
22,4416,281,202,182
32,2528,215,368,43
14,2018,272,370,162
31,2210,254,170,75
46,3997,298,310,45
19,6683,76,367,92
20,5205,205,200,190
3,5633,169,323,166
4,6199,296,369,141
17,3719,214,171,114
11,6947,183,140,127
21,6630,75,305,177
8,2857,34,96,210
10,1017,288,372,222
47,1301,273,352,216
46,4311,264,344,44
10,4906,197,39,147
20,3034,127,235,153
44,598,32,294,151
10,4053,235,397,168
48,2899,95,285,207
15,950,102,222,44
22,1024,110,238,141
25,576,253,235,166
13,5199,38,369,98
27,2728,27,247,105
6,6334,94,196,160
37,6216,239,199,144
9,4920,300,18,120
31,6440,148,125,246
3,5934,202,313,119
46,1595,187,294,52
37,2782,54,135,125
22,758,112,134,192
5,6965,230,201,39
43,5889,20,303,34
42,2287,157,118,167
17,3322,212,20,77
28,5014,88,79,28
17,2981,259,92,225
24,3552,154,328,206
10,1683,237,277,90
18,1926,270,165,80
20,4769,41,42,183
45,1847,123,362,226
21,4632,78,142,54
26,4094,187,279,235
18,6668,222,77,16
41,672,229,392,39
10,3477,287,150,44
11,5433,21,208,204
9,4790,64,12,156
38,6743,187,218,147
8,5440,33,192,85
31,3635,144,344,95
23,1175,135,370,130
8,3574,45,273,248
28,1071,39,55,201
26,3200,58,251,127
44,232,116,213,141
12,653,106,71,59
34,868,255,318,86
32,6952,247,356,154
9,6564,232,88,17
4,1987,79,155,25
10,1323,96,158,132
46,2773,93,16,39
26,6414,246,43,27
30,1940,88,289,230
43,3101,221,16,50
22,340,42,318,26
20,5087,168,33,71
43,5017,145,290,231
25,5802,121,156,179
41,3368,101,7,25
11,5204,252,170,28
34,3208,274,142,221
23,2815,197,128,87
43,3975,184,123,235
42,2879,202,364,10
8,1505,49,34,208
4,6368,127,93,151
17,599,176,200,142
7,3679,30,376,118
14,6190,16,317,191
4,3101,147,257,91
38,3651,219,398,68
14,6401,291,34,240
23,6747,106,13,90
16,3228,172,83,241
15,1285,15,140,158
7,4912,250,56,27
23,3659,153,268,239
8,2648,118,290,79
3,6299,22,260,118
39,4037,38,372,205
38,1109,229,8,142
47,5002,20,391,245
18,4449,148,375,182
38,1676,201,97,217
12,6417,190,153,24
11,5808,155,119,127
15,4814,105,167,78
45,2909,249,260,227
9,5382,112,260,87
42,3878,104,17,18
3,225,115,69,65
6,3135,292,347,85
23,291,157,9,109
32,4837,228,298,28
28,2620,58,110,190
11,6204,212,351,13
32,5046,289,335,219
16,3104,68,353,222
18,5391,76,105,48
32,2407,138,117,177
4,2806,220,335,177
24,2123,76,280,90
23,1286,94,358,128
26,5946,126,348,166
11,1028,122,380,97
3,2404,223,117,246
47,6918,250,399,81
11,1121,115,14,120
21,6807,63,94,153
38,3663,265,90,55
29,4553,240,124,132
35,2117,147,54,29
41,4565,5,171,190
39,880,289,14,50
6,1025,232,397,185
10,6425,283,332,53
22,4056,43,46,229
26,3097,235,106,248
36,1911,30,281,61
10,4251,198,396,122
7,5114,221,356,24
8,483,77,156,76
18,1552,6,177,126
27,5498,243,182,172
34,230,76,141,107
15,505,121,268,143
28,764,248,349,219
34,2219,45,175,159
18,4681,168,95,138
4,4954,83,385,209
47,6183,9,333,34
15,5737,48,190,169
8,3382,137,202,236
30,2384,52,142,240
34,5514,132,53,100
13,5944,272,293,178
34,6414,182,139,247
41,6152,175,84,114
21,672,141,64,58
6,4695,94,110,139
17,3924,245,338,221
16,952,82,155,222
26,5920,242,116,174
19,315,264,196,50
25,5652,173,362,24
29,6928,13,77,234
6,442,112,82,202
6,2079,147,330,95
11,1065,253,325,125
45,2366,155,391,116
45,2508,72,375,193
16,5650,292,323,208
37,1219,198,305,117
8,1962,143,301,88
43,837,271,385,246
38,3105,156,117,242
43,2627,251,308,116
8,1515,141,355,31
42,3970,217,255,137
12,1540,200,5,57
6,4238,143,59,111
20,3551,178,238,66
18,1398,120,357,162
29,4718,89,260,124
28,1613,249,344,89
8,5376,115,299,14
34,2826,56,275,55
22,6244,47,5,93
38,3708,205,154,115
33,1263,292,17,98
47,6367,67,310,209
46,6820,167,293,116
4,1096,188,257,204
31,1566,20,122,137
5,6595,131,214,135
38,1368,230,364,84
48,5915,289,118,164
19,949,151,85,143
3,1320,159,242,30
11,655,291,387,193
23,3433,297,97,108
8,3116,41,350,38
15,3155,5,345,194
28,1100,150,5,33
19,5268,84,149,180
19,1817,30,155,167
22,3620,116,379,238
9,2109,58,18,54
40,420,163,329,87
5,6465,139,339,107
32,2469,53,310,109
42,636,248,118,18
34,1461,292,23,229
31,5012,248,287,30
44,5834,95,128,161
5,4688,40,281,234
46,816,135,87,242
34,4958,17,330,249
42,4861,235,226,176
43,2510,18,278,202
15,5693,174,221,183
37,6612,34,332,192
10,5482,278,270,164
38,3743,72,236,243
30,5638,40,293,61
43,5103,5,334,86
18,6328,234,323,230
13,326,228,87,110
39,3368,108,70,176
27,3965,71,292,158
11,6397,250,185,197
45,1086,136,174,160
9,3384,85,123,24
30,1200,259,265,174
34,5720,130,85,195
26,6366,63,325,70
5,1213,67,110,121
24,3165,226,149,66
47,6602,94,228,75
13,3475,162,236,26
21,1676,243,334,234
27,1833,211,128,41
20,4257,274,358,81
16,4200,23,35,30
30,5186,230,284,84
18,6541,231,136,177
4,6378,251,37,124
12,6062,182,15,160
15,6030,179,101,219
36,571,224,389,150
14,3450,276,214,127
21,3809,141,338,49
4,5773,123,358,86
19,5114,49,357,74
46,1838,103,124,132
24,3411,285,28,123
6,4597,241,83,216
8,5539,56,232,47
12,5116,71,179,197
27,3353,268,99,126
41,4165,276,391,117
48,4406,61,76,109
7,5725,57,315,236
8,2245,180,393,132
47,6136,51,93,115
39,2065,44,74,247
13,292,173,399,244
40,5654,128,59,239
33,934,87,35,18
37,4165,188,336,73
15,4661,51,51,89
22,6073,129,375,101
24,466,128,270,97
23,6053,115,21,70
16,804,91,289,179
12,5301,65,166,105
36,2968,48,100,78
44,1688,8,297,96
10,1546,202,376,53
8,4381,287,342,202
44,4486,110,199,217
41,6622,273,84,23
19,1871,211,269,181
21,3693,255,208,48
9,2497,54,38,199
8,3348,108,148,174
21,3223,278,35,169
9,735,101,92,155
13,2824,88,117,40
42,2486,270,187,17
28,5698,220,91,191
13,4711,239,325,192
6,3825,213,137,134
15,6960,162,179,137
17,3098,176,355,68
40,5127,270,11,149
46,1498,22,233,235
42,6569,86,336,45
3,2514,282,235,215
34,5562,269,304,247
41,5680,176,363,229
39,819,129,210,246
21,1810,18,355,115
41,424,9,34,201
28,6028,9,314,52
29,2505,265,216,239
48,4907,70,338,86
38,4743,84,88,69
29,6241,35,298,56
8,1302,290,258,180
7,1051,221,215,191
45,1030,201,215,72
47,2337,11,204,193
7,2713,179,355,90
10,4005,278,166,216
30,2549,108,202,95
6,2133,24,48,80
42,5308,298,338,26
19,1343,32,189,33
23,6318,125,68,45
16,4519,76,87,201
26,5095,211,272,51
5,4459,42,374,232
25,2847,149,37,162
32,1002,54,292,226
41,3063,54,166,123
43,684,229,348,250
21,3708,32,272,49
22,2498,117,231,77
6,3312,167,78,158
10,4233,151,26,72
20,6634,172,160,178
48,774,165,142,146
17,1508,74,140,149
4,3651,199,87,147
17,6126,205,228,32
8,3756,165,208,112
18,626,122,284,18
24,5627,205,157,139
27,3055,244,338,187
28,6729,136,191,177
33,1040,133,194,83
10,3128,248,296,104
37,6970,279,322,152
34,5832,56,348,181
26,3288,261,238,235
23,1061,46,395,204
21,1326,13,181,34
39,3696,74,136,25
32,4219,109,269,54
18,278,180,372,131
37,1348,176,259,113
14,4779,231,126,226
11,423,243,289,222
15,1918,227,170,37
7,3779,42,303,201
37,6359,202,257,220
37,4950,140,162,73
30,1879,208,8,20
11,6355,53,121,242
28,6378,281,233,64
3,3824,184,226,52
36,6045,198,190,82
14,5656,59,219,198
32,3934,30,185,114
28,4766,81,228,209
16,5755,34,76,45
38,1031,77,45,57
24,3173,142,133,55
40,4161,191,197,112
31,2299,91,250,137
36,2905,224,115,172
15,2499,169,69,177
23,1172,239,287,23
45,5354,234,288,164
11,2214,189,108,103
21,5718,134,289,211
14,6462,52,198,119
6,5909,103,41,162
34,2363,284,355,89
16,6668,253,163,154
11,4543,77,248,168
38,3236,90,347,196
3,5473,94,290,89
43,6902,245,200,197
11,4674,109,341,151
17,3597,250,19,130
47,3600,98,67,41
26,2167,73,63,71
20,6601,142,188,101
26,333,142,119,94
38,4225,244,113,31
47,2505,79,345,236
45,5847,186,294,24
27,1588,119,326,143
18,1618,290,121,171
41,3044,262,124,62
46,2585,100,34,31
17,6217,134,70,240
44,6158,153,124,70
31,1332,239,217,34
48,300,259,263,191
5,2763,5,105,12
33,3410,37,203,88
28,542,75,157,139
15,4180,292,380,191
14,5143,236,56,192
18,5245,226,249,233
40,4803,91,58,50
13,1011,33,333,102
10,1288,80,356,60
37,710,12,380,232
17,6833,117,223,36
45,5640,34,46,23
35,6109,128,29,114
32,3972,250,16,245
35,1417,290,4,152
46,1395,147,290,169
34,4824,131,222,236
16,4145,194,208,127
47,829,300,273,228
32,2250,166,120,229
15,920,91,274,64
18,4725,17,118,181
45,6291,127,1,220
31,319,24,155,154
45,5124,69,372,98
4,2926,196,50,34
29,4111,163,239,197
41,3157,124,362,246
25,6033,126,203,65
24,1815,52,124,250
31,338,175,118,43
3,1437,210,295,67
31,5303,153,268,99
34,1264,281,31,186
21,6803,227,79,137
23,416,121,70,179
37,6098,292,372,217
43,5593,15,375,185
30,3044,22,3,81
39,222,276,334,48
36,5216,8,278,25
20,3486,104,330,15
33,1954,266,314,104
32,2355,68,11,112
29,4526,274,268,224
9,4360,186,331,198
31,6765,183,76,77
29,6917,225,272,250
34,1674,180,93,56
13,4547,104,76,93
14,5603,146,123,202
12,3339,45,197,213
21,3837,33,384,87
24,4419,254,328,167
42,4525,99,272,108
13,1556,104,106,148
4,3964,14,359,145
8,6422,228,248,104
38,659,195,109,222
48,241,161,162,202
45,4384,109,19,92
13,1360,24,214,136
26,1255,182,256,117
32,3417,280,183,26
28,4347,298,65,93
37,3445,230,345,129
42,1222,236,333,178
18,5799,260,167,105
25,6362,23,343,173
15,395,292,163,162
24,5082,86,23,194
44,4015,63,92,222
28,3033,167,116,197
19,1139,258,184,26
33,936,207,32,69
14,4047,25,104,31
32,564,34,18,173
5,1749,247,113,106
28,4198,91,200,197
10,2259,193,336,159
21,3087,192,357,239
37,4965,226,392,238
29,1258,194,148,20
42,4678,300,365,59
44,5034,231,31,82
30,1280,246,97,224
31,1603,86,213,16
12,6778,116,378,234
11,1821,124,15,235
38,1423,197,66,147
37,5932,243,98,66
22,1182,258,77,49
8,6283,34,185,236
24,3688,100,314,228
30,6210,276,123,136
29,1155,120,146,233
14,1296,226,267,27
4,1813,42,125,214
31,1002,58,326,31
41,769,244,321,214
41,2546,120,55,71
25,5504,139,20,83
16,5999,161,175,245
11,2850,108,391,49
20,1529,171,356,160
24,4247,256,264,230
23,1479,52,143,56
31,5513,300,320,75
27,6476,99,185,38
15,4999,225,233,107
20,4498,244,194,142
30,3447,162,118,230
30,1671,128,21,55
26,3773,216,37,228
42,1516,129,32,126
28,4845,109,297,126
31,3820,160,394,245
5,588,19,283,231
9,2637,79,346,54
27,3126,247,301,16
46,5834,204,232,198
22,3557,300,132,230
6,2082,87,39,45
11,984,47,229,196
12,3571,105,320,83
33,6065,161,51,88
25,1110,241,304,108
32,6068,128,326,98
39,6192,39,37,60
26,5541,166,190,35
47,1248,178,65,87
31,6083,67,85,59
3,6658,264,36,36
31,5405,51,93,182
25,1783,250,243,141
46,4936,293,97,227
29,3057,162,55,154
8,4990,211,240,144
32,4783,208,374,106
30,1523,238,16,126
46,4498,258,396,178
38,6255,74,345,44
16,2519,138,276,213
21,3810,255,368,95
34,5151,205,201,150
13,3976,243,198,214
19,4804,292,286,214
18,493,215,202,145
37,6147,50,216,38
44,1255,28,369,201
3,1168,24,341,86
18,6322,246,177,89
11,2140,65,317,13
10,1136,163,231,241
19,5542,175,122,14
14,3280,133,396,198
34,2696,181,387,35
29,3857,175,187,57
47,6000,65,168,240
11,1813,187,370,47
33,5561,80,135,67
20,5639,97,225,103
13,5801,125,127,27
39,619,154,60,218
15,1930,159,23,154
17,5381,107,250,222
43,585,50,256,51
13,1237,131,154,226
27,2705,138,267,178
28,5625,5,167,240
13,4520,63,127,124
8,3871,40,163,78
28,6078,57,70,166
28,3337,150,324,178
44,1524,38,284,25
13,4311,78,154,14
33,5056,36,8,22
12,4348,159,98,40
47,698,160,94,33
43,516,9,124,29
36,2791,84,187,70
32,3374,150,344,99
22,3165,229,63,116
33,5128,235,397,211
46,4361,137,96,127
7,2501,84,256,236
9,1032,143,308,220
29,4169,21,334,180
14,3256,168,190,215
35,5480,232,251,22
13,4199,237,270,48
20,3209,53,392,15
29,1552,259,318,194
42,5310,39,234,13
4,4550,107,72,198
44,1216,157,369,159
27,3827,194,14,153
45,322,236,57,101
41,2181,18,206,26
18,1538,248,175,127
32,2099,145,353,142
25,4590,163,187,97
11,4304,245,289,212
47,519,33,45,118
12,417,53,43,132
33,420,41,249,148
14,2784,19,369,227
47,3624,143,37,149
41,4584,192,229,245
38,5397,120,219,197
46,5881,231,238,21
29,4899,161,237,49
10,4607,173,388,192
26,1631,226,140,135
36,2030,12,9,205
39,5297,144,278,52
17,4817,183,219,31
47,4387,59,36,79
39,4419,212,39,130
36,1319,199,68,150
20,766,272,115,218
41,604,82,234,179
36,4031,25,358,95
17,1716,193,320,10
8,1930,41,180,203
45,2609,163,178,175
11,5680,142,101,248
18,4129,111,42,152
5,1805,187,223,91
14,967,191,170,187
16,5078,76,203,55
37,4866,30,151,108
15,6693,282,308,181
44,3299,155,212,62
28,5248,169,289,57
6,3532,191,333,178
36,6115,187,6,49
25,4434,145,399,46
39,3591,23,327,200
19,739,250,36,180
13,5679,181,53,110
29,6888,250,254,161
21,6716,107,224,142
13,2122,220,320,170
3,2708,70,116,43
45,5387,24,169,96
45,1972,49,20,110
11,1002,205,108,116
25,362,261,379,90
14,2733,32,379,14
4,4666,156,178,167
7,3501,285,58,183
27,3097,114,192,239
30,6994,8,369,66
3,3728,84,248,193
46,2202,196,380,229
45,4994,266,176,109
48,1091,160,227,242
46,720,274,356,202
3,1323,192,303,185
3,6082,19,147,239
42,4495,174,76,182
36,2399,164,26,234
29,5478,291,400,11
7,4537,244,150,26
10,1172,147,39,227
31,4797,294,386,14
3,3615,146,138,113
5,1584,107,262,80
35,5561,207,138,17
23,1899,43,63,182
45,5808,127,182,152
34,2133,92,138,182
13,6487,173,397,125
3,1329,154,328,158
28,3497,124,36,146
23,2648,263,56,44
16,6691,165,245,111
6,2543,258,273,44
13,487,9,373,158
4,964,258,68,48
4,1155,103,253,40
29,1048,283,185,197
31,6325,173,44,167
18,5353,73,138,163
43,1757,106,162,198
32,3787,98,69,133
4,4453,197,400,176
43,3095,262,273,37
40,2232,114,270,57
36,270,118,319,13
45,1235,223,100,115
7,6986,178,378,18
33,2673,291,286,13
22,790,249,173,60
21,3655,298,197,137
18,1633,200,333,18
42,6917,147,363,142
12,576,280,150,114
32,576,72,365,12
23,2827,267,288,210
38,5722,108,89,184
6,697,181,336,34
31,1742,62,193,136
15,3010,295,396,213
9,3584,41,394,171
27,4878,138,209,167
9,3005,147,192,42
43,6041,89,289,229
6,6281,99,54,181
40,4934,294,309,123
23,4491,173,330,247
47,4604,65,319,130
46,3188,106,178,195
26,3610,240,236,179
22,6272,146,83,233
45,6557,27,73,194
31,6182,212,375,24
10,5755,55,258,108
32,2900,122,276,60
10,4377,49,292,221
24,3482,132,62,63
18,3586,107,231,32
3,2342,250,78,158
35,5596,117,362,144
22,3759,239,21,70
16,4085,82,301,11
30,3553,158,233,87
40,1953,31,297,24
34,3370,202,47,49
34,3095,115,152,170
34,3242,145,207,202
43,6412,288,308,45
31,5088,202,304,175
3,5261,215,392,209
36,6687,208,360,181
27,688,192,219,95
35,2855,299,364,139
4,3072,58,149,106
47,2190,86,90,113
48,3557,228,290,245
41,3531,273,265,211
39,2965,191,365,65
15,2178,151,215,178
30,5683,200,144,20
23,3671,168,338,92
27,6788,244,364,32
32,4498,15,157,165
21,2824,66,328,38
18,6994,131,262,143
20,1357,95,138,206
44,3047,238,37,108
34,4361,28,107,123
19,5385,160,190,128
13,3707,159,69,234
31,2299,137,7,204
11,6541,298,382,93
32,4782,170,166,209
16,5011,79,132,180
37,4903,132,173,193
39,4037,122,17,37
36,5379,30,24,119
41,5577,231,330,250
11,3962,172,109,47
41,2844,238,2,135
16,4805,212,235,215
29,675,31,257,143
22,3029,121,236,223
38,256,149,243,201
25,5176,139,191,98
45,6251,142,136,100
20,1363,73,15,83
17,664,222,80,40
26,5489,15,360,65
13,1208,47,137,245
28,5598,58,227,45
11,2504,238,302,177
16,1914,167,71,105
5,1604,182,2,224
24,391,14,398,15
13,6296,268,323,92
12,3563,165,178,242
11,5627,196,180,41
13,3534,38,192,16
28,2822,92,133,69
37,1804,235,62,209
6,3782,92,59,79
19,4922,130,314,174
31,3157,38,184,226
17,5459,203,98,82
32,6376,283,377,37
25,6821,147,59,135
15,5125,241,276,68
43,3248,114,276,204
14,4445,52,246,102
15,2104,172,118,235
31,1515,252,381,33
41,2323,187,69,158
36,2281,175,85,219
7,1440,31,259,204
29,5242,91,278,118
4,1954,125,14,123
6,3558,19,398,139
19,2405,76,104,49
22,2796,34,26,119
21,1578,216,312,79
21,2503,51,302,175
24,6583,82,256,132
24,3452,217,305,212
8,1729,263,250,110
31,6104,246,118,116
7,4899,164,135,10
45,6393,80,373,80
3,958,25,58,165
37,951,90,284,93
44,2987,210,362,247
14,3078,142,66,211
42,1212,263,198,240
33,5667,136,212,215
45,2371,218,306,119
11,4831,41,327,29
39,4904,270,152,124
46,2826,213,26,62
32,4141,251,31,113
33,5953,293,271,114
25,1307,178,12,59
43,6951,198,165,114
18,1580,22,60,114
48,6442,15,291,50
3,1392,112,19,22
25,5410,293,179,162
46,4605,229,227,186
39,3073,260,134,64
18,1459,218,208,199
36,355,216,108,124
4,2667,44,115,20
18,4186,194,55,127
29,3855,67,142,211
36,5157,261,227,99
48,4779,248,105,195
18,1967,288,63,59
45,3623,96,208,144
